6, 2022/05/12 16:21:41.395, 58.50 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:21:42.398, 58.74 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:21:43.401, 58.87 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:21:44.404, 58.37 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:21:45.408, 58.21 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:21:46.411, 58.21 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:21:47.414, 58.19 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:21:48.418, 181.62 , 1905 MHz, 6800 MHz, 1905 MHz
6, 2022/05/12 16:21:49.428, 81.48 , 1905 MHz, 6800 MHz, 1905 MHz
6, 2022/05/12 16:21:50.431, 80.45 , 1905 MHz, 6800 MHz, 1905 MHz
6, 2022/05/12 16:21:51.435, 60.47 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:21:52.438, 59.06 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:21:53.440, 58.87 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:21:54.444, 58.76 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:21:55.447, 59.58 , 1350 MHz, 7000 MHz, 1350 MHz
6, 2022/05/12 16:21:56.453, 59.23 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:21:57.458, 58.87 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:21:58.462, 59.32 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:21:59.466, 58.97 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:22:00.490, 59.37 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:22:01.493, 59.24 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:22:02.497, 174.85 , 1905 MHz, 6800 MHz, 1905 MHz
6, 2022/05/12 16:22:03.502, 180.69 , 1905 MHz, 6800 MHz, 1905 MHz
6, 2022/05/12 16:22:04.507, 182.86 , 1905 MHz, 6800 MHz, 1905 MHz
6, 2022/05/12 16:22:05.511, 183.84 , 1905 MHz, 6800 MHz, 1905 MHz
6, 2022/05/12 16:22:06.580, 183.15 , 1905 MHz, 6800 MHz, 1905 MHz
6, 2022/05/12 16:22:07.586, 184.28 , 1905 MHz, 6800 MHz, 1905 MHz
6, 2022/05/12 16:22:08.588, 184.44 , 1905 MHz, 6800 MHz, 1905 MHz
6, 2022/05/12 16:22:09.592, 83.60 , 1905 MHz, 7000 MHz, 1905 MHz
6, 2022/05/12 16:22:10.594, 83.05 , 1905 MHz, 7000 MHz, 1905 MHz
6, 2022/05/12 16:22:11.600, 60.46 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:22:12.602, 115.79 , 1905 MHz, 6800 MHz, 1905 MHz
6, 2022/05/12 16:22:13.608, 83.28 , 1905 MHz, 7000 MHz, 1905 MHz
6, 2022/05/12 16:22:14.611, 82.36 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:22:15.615, 59.36 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:22:16.620, 59.97 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:22:17.625, 184.28 , 1905 MHz, 6800 MHz, 1905 MHz
6, 2022/05/12 16:22:18.630, 84.17 , 1905 MHz, 6800 MHz, 1905 MHz
6, 2022/05/12 16:22:19.674, 82.98 , 1905 MHz, 6800 MHz, 1905 MHz
6, 2022/05/12 16:22:20.677, 60.81 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:22:21.682, 59.64 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:22:22.686, 59.93 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:22:23.690, 59.52 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:22:24.694, 59.79 , 1350 MHz, 7000 MHz, 1350 MHz
6, 2022/05/12 16:22:25.730, 60.07 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:22:26.734, 185.23 , 1905 MHz, 6800 MHz, 1905 MHz
6, 2022/05/12 16:22:27.739, 191.10 , 1905 MHz, 6800 MHz, 1905 MHz
6, 2022/05/12 16:22:28.742, 190.00 , 1905 MHz, 6800 MHz, 1905 MHz
6, 2022/05/12 16:22:29.745, 83.70 , 1905 MHz, 6800 MHz, 1905 MHz
6, 2022/05/12 16:22:30.749, 83.76 , 1905 MHz, 6800 MHz, 1905 MHz
6, 2022/05/12 16:22:31.752, 59.67 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:22:32.755, 60.06 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:22:33.757, 59.96 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:22:34.761, 83.03 , 1905 MHz, 7000 MHz, 1905 MHz
6, 2022/05/12 16:22:35.765, 84.31 , 1905 MHz, 7000 MHz, 1905 MHz
6, 2022/05/12 16:22:36.768, 60.34 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:22:37.771, 59.17 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:22:38.775, 59.82 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:22:39.778, 59.73 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:22:40.781, 60.30 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:22:41.784, 60.26 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:22:42.788, 114.51 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:22:43.795, 188.45 , 1905 MHz, 6800 MHz, 1905 MHz
6, 2022/05/12 16:22:44.798, 187.62 , 1890 MHz, 6800 MHz, 1890 MHz
6, 2022/05/12 16:22:45.804, 83.75 , 1890 MHz, 6800 MHz, 1890 MHz
6, 2022/05/12 16:22:46.807, 83.71 , 1890 MHz, 7000 MHz, 1890 MHz
6, 2022/05/12 16:22:47.811, 60.15 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:22:48.817, 59.15 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:22:49.820, 59.73 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:22:50.823, 60.13 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:22:51.827, 133.73 , 1605 MHz, 6800 MHz, 1605 MHz
6, 2022/05/12 16:22:52.830, 192.94 , 1890 MHz, 6800 MHz, 1890 MHz
6, 2022/05/12 16:22:53.833, 194.15 , 1890 MHz, 6800 MHz, 1890 MHz
6, 2022/05/12 16:22:54.836, 191.20 , 1890 MHz, 6800 MHz, 1890 MHz
6, 2022/05/12 16:22:55.839, 192.14 , 1890 MHz, 6800 MHz, 1890 MHz
6, 2022/05/12 16:22:56.844, 192.29 , 1890 MHz, 6800 MHz, 1890 MHz
6, 2022/05/12 16:22:57.847, 85.05 , 1890 MHz, 6800 MHz, 1890 MHz
6, 2022/05/12 16:22:58.852, 87.24 , 1890 MHz, 7000 MHz, 1890 MHz
6, 2022/05/12 16:22:59.861, 60.81 , 1350 MHz, 7000 MHz, 1350 MHz
6, 2022/05/12 16:23:00.865, 60.60 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:23:01.868, 84.12 , 1890 MHz, 7000 MHz, 1890 MHz
6, 2022/05/12 16:23:02.873, 84.75 , 1890 MHz, 7000 MHz, 1890 MHz
6, 2022/05/12 16:23:03.876, 60.63 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:23:04.879, 188.81 , 1890 MHz, 6800 MHz, 1890 MHz
6, 2022/05/12 16:23:05.882, 84.60 , 1890 MHz, 6800 MHz, 1890 MHz
6, 2022/05/12 16:23:06.885, 64.54 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:23:07.889, 60.57 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:23:08.899, 60.85 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:23:09.903, 185.15 , 1890 MHz, 6800 MHz, 1890 MHz
6, 2022/05/12 16:23:10.906, 84.94 , 1890 MHz, 7000 MHz, 1890 MHz
6, 2022/05/12 16:23:11.909, 84.85 , 1890 MHz, 7000 MHz, 1890 MHz
6, 2022/05/12 16:23:12.912, 77.02 , 1605 MHz, 6800 MHz, 1605 MHz
6, 2022/05/12 16:23:13.916, 68.27 , 1605 MHz, 6800 MHz, 1605 MHz
6, 2022/05/12 16:23:14.920, 61.42 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:23:15.923, 60.37 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:23:16.928, 61.78 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:23:17.931, 60.53 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:23:18.935, 60.49 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:23:19.959, 60.72 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:23:20.962, 60.60 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:23:21.965, 60.82 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:23:22.968, 60.75 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:23:23.971, 60.40 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:23:24.974, 60.24 , 1350 MHz, 6800 MHz, 1350 MHz
